title,doi,pmid,score,relative_citation_ratio,weighted_sum_of_stars,evaluation,recom_date,author,classifications,
Parental educational level and childhood wheezing and asthma: A prospective cohort study from the Japan Environment and Children's Study.,https://doi.org/10.1371/journal.pone.0250255,33861791,Score 9.2, Weighted sum of stars: 2.0,,Very Good,5-May-21,Saijo Y et al.,New Finding,
Ten-year experience with ophthalmic artery chemosurgery: Ocular and recurrence-free survival.,https://doi.org/10.1371/journal.pone.0197081,29791475,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.01, Weighted sum of stars: 1.0,Good,4-May-21,Francis JH et al.,Good for Teaching,
Angiotensin II receptor blocker or angiotensin-converting enzyme inhibitor use and COVID-19-related outcomes among US Veterans.,https://doi.org/10.1371/journal.pone.0248080,33891615,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.47, Weighted sum of stars: 1.0,Good,4-May-21,Derington CG et al.,Confirmation,
Decadal-scale changes of dinoflagellates and diatoms in the anomalous baltic sea spring bloom.,https://doi.org/10.1371/journal.pone.0021567,21747911,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.81, Weighted sum of stars: 1.0,Good,29-Sep-11,Klais R et al.,New Finding,
Angiotensin II receptor blocker or angiotensin-converting enzyme inhibitor use and COVID-19-related outcomes among US Veterans.,https://doi.org/10.1371/journal.pone.0248080,33891615,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.47, Weighted sum of stars: 1.0,Good,4-May-21,Derington CG et al.,Controversial,
"Control of flowering and cell fate by LIF2, an RNA binding partner of the polycomb complex component LHP1.",https://doi.org/10.1371/journal.pone.0016592,21304947,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.16, Weighted sum of stars: 1.0,Good,26-Sep-11,Latrasse D et al.,New Finding,
A total blood volume or more transfused during pregnancy or after childbirth: Individual patient data from six international population-based observational studies.,https://doi.org/10.1371/journal.pone.0244933,33481835,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.43, Weighted sum of stars: 2.0,Very Good,3-Feb-21,McCall SJ et al.,Good for Teaching,
A total blood volume or more transfused during pregnancy or after childbirth: Individual patient data from six international population-based observational studies.,https://doi.org/10.1371/journal.pone.0244933,33481835,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.43, Weighted sum of stars: 2.0,Very Good,3-Feb-21,McCall SJ et al.,New Finding,
Metagenomic analysis of viruses in toilet waste from long distance flights-A new procedure for global infectious disease surveillance.,https://doi.org/10.1371/journal.pone.0210368,30640944,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.56, Weighted sum of stars: 4.0,Exceptional,2-Feb-21,Hjelmsø MH et al.,Interesting Hypothesis,
Metagenomic analysis of viruses in toilet waste from long distance flights-A new procedure for global infectious disease surveillance.,https://doi.org/10.1371/journal.pone.0210368,30640944,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.56, Weighted sum of stars: 4.0,Exceptional,2-Feb-21,Hjelmsø MH et al.,New Finding,
"The prognostic value of neurofilament levels in patients with sepsis-associated encephalopathy - A prospective, pilot observational study.",https://doi.org/10.1371/journal.pone.0211184,30677080,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.62, Weighted sum of stars: 1.0,Good,27-Apr-21,Ehler J et al.,New Finding,
Small-scale utilitarianism: High acceptance of utilitarian solutions to Trolley Problems among a horticultural population in Nicaragua.,https://doi.org/10.1371/journal.pone.0249345,33819284,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.21, Weighted sum of stars: 2.0,Very Good,22-Apr-21,"Winking J, Koster J",Negative / Null Results,
Skin conductance response to the pain of others predicts later costly helping.,https://doi.org/10.1371/journal.pone.0022759,21826205,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.84, Weighted sum of stars: 1.0,Good,25-Sep-11,Hein G et al.,New Finding,
Metagenomic analysis of viruses in toilet waste from long distance flights-A new procedure for global infectious disease surveillance.,https://doi.org/10.1371/journal.pone.0210368,30640944,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.56, Weighted sum of stars: 4.0,Exceptional,2-Feb-21,Hjelmsø MH et al.,Technical Advance,
Lack of evidence for expression and function of IL-39 in human immune cells.,https://doi.org/10.1371/journal.pone.0242329,33259477,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.87, Weighted sum of stars: 2.0,Very Good,2-Feb-21,Ecoeur F et al.,Controversial,
Lack of evidence for expression and function of IL-39 in human immune cells.,https://doi.org/10.1371/journal.pone.0242329,33259477,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.87, Weighted sum of stars: 2.0,Very Good,2-Feb-21,Ecoeur F et al.,Negative / Null Results,
Small-scale utilitarianism: High acceptance of utilitarian solutions to Trolley Problems among a horticultural population in Nicaragua.,https://doi.org/10.1371/journal.pone.0249345,33819284,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.21, Weighted sum of stars: 2.0,Very Good,22-Apr-21,"Winking J, Koster J",Technical Advance,
Immune gene expression networks in sepsis: A network biology approach.,https://doi.org/10.1371/journal.pone.0247669,33667236,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2, Weighted sum of stars: 2.0,Very Good,12-Apr-21,Kim KS et al.,Good for Teaching,
Immune gene expression networks in sepsis: A network biology approach.,https://doi.org/10.1371/journal.pone.0247669,33667236,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2, Weighted sum of stars: 2.0,Very Good,12-Apr-21,Kim KS et al.,Interesting Hypothesis,
Immune gene expression networks in sepsis: A network biology approach.,https://doi.org/10.1371/journal.pone.0247669,33667236,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2, Weighted sum of stars: 2.0,Very Good,12-Apr-21,Kim KS et al.,New Finding,
Lack of evidence for expression and function of IL-39 in human immune cells.,https://doi.org/10.1371/journal.pone.0242329,33259477,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.87, Weighted sum of stars: 2.0,Very Good,2-Feb-21,Ecoeur F et al.,Refutation,
DNA barcoding in the Southeast Pacific marine realm: Low coverage and geographic representation despite high diversity.,https://doi.org/10.1371/journal.pone.0244323,33370342,Score 13.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.13, Weighted sum of stars: 3.0,Good,10-Jan-21,Ramirez JL et al.,Confirmation,
DNA barcoding in the Southeast Pacific marine realm: Low coverage and geographic representation despite high diversity.,https://doi.org/10.1371/journal.pone.0244323,33370342,Score 13.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.13, Weighted sum of stars: 3.0,Good,10-Jan-21,Ramirez JL et al.,Controversial,
DNA barcoding in the Southeast Pacific marine realm: Low coverage and geographic representation despite high diversity.,https://doi.org/10.1371/journal.pone.0244323,33370342,Score 13.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.13, Weighted sum of stars: 3.0,Good,10-Jan-21,Ramirez JL et al.,Good for Teaching,
Interactions of the algicidal bacterium Kordia algicida with diatoms: regulated protease excretion for specific algal lysis.,https://doi.org/10.1371/journal.pone.0021032,21695044,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.4, Weighted sum of stars: 1.0,Good,22-Sep-11,"Paul C, Pohnert G",New Finding,
Connectivity within and among a network of temperate marine reserves.,https://doi.org/10.1371/journal.pone.0020168,21625388,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.9, Weighted sum of stars: 1.0,Good,21-Sep-11,Coleman MA et al.,Confirmation,
Immune gene expression networks in sepsis: A network biology approach.,https://doi.org/10.1371/journal.pone.0247669,33667236,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2, Weighted sum of stars: 2.0,Very Good,12-Apr-21,Kim KS et al.,Technical Advance,
Urinary cytokines in women with refractory detrusor overactivity: A longitudinal study of rotating antibiotic versus placebo treatment.,https://doi.org/10.1371/journal.pone.0247861,33657181,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.18, Weighted sum of stars: 1.0,Good,6-Apr-21,Chen Z et al.,Good for Teaching,
DNA barcoding in the Southeast Pacific marine realm: Low coverage and geographic representation despite high diversity.,https://doi.org/10.1371/journal.pone.0244323,33370342,Score 13.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.13, Weighted sum of stars: 3.0,Good,10-Jan-21,Ramirez JL et al.,Technical Advance,
"Active case-finding policy development, implementation and scale-up in high-burden countries: A mixed-methods survey with National Tuberculosis Programme managers and document review.",https://doi.org/10.1371/journal.pone.0240696,33112890,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.9, Weighted sum of stars: 1.0,Good,7-Jan-21,Biermann O et al.,Good for Teaching,
Connectivity within and among a network of temperate marine reserves.,https://doi.org/10.1371/journal.pone.0020168,21625388,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.9, Weighted sum of stars: 1.0,Good,21-Sep-11,Coleman MA et al.,New Finding,
Th17 cells and IL-17 in protective immunity to vaginal candidiasis.,https://doi.org/10.1371/journal.pone.0022770,21818387,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.57, Weighted sum of stars: 1.0,Good,21-Sep-11,Pietrella D et al.,Controversial,
Th17 cells and IL-17 in protective immunity to vaginal candidiasis.,https://doi.org/10.1371/journal.pone.0022770,21818387,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.57, Weighted sum of stars: 1.0,Good,21-Sep-11,Pietrella D et al.,New Finding,
"Active case-finding policy development, implementation and scale-up in high-burden countries: A mixed-methods survey with National Tuberculosis Programme managers and document review.",https://doi.org/10.1371/journal.pone.0240696,33112890,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.9, Weighted sum of stars: 1.0,Good,7-Jan-21,Biermann O et al.,New Finding,
Impact of tonsillectomy on irritable bowel syndrome: A nationwide population-based cohort study.,https://doi.org/10.1371/journal.pone.0238242,32870916,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.36, Weighted sum of stars: 2.0,Very Good,6-Jan-21,Wu MC et al.,Interesting Hypothesis,
Th17 cells and IL-17 in protective immunity to vaginal candidiasis.,https://doi.org/10.1371/journal.pone.0022770,21818387,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.57, Weighted sum of stars: 1.0,Good,21-Sep-11,Pietrella D et al.,Technical Advance,
Impact of tonsillectomy on irritable bowel syndrome: A nationwide population-based cohort study.,https://doi.org/10.1371/journal.pone.0238242,32870916,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.36, Weighted sum of stars: 2.0,Very Good,6-Jan-21,Wu MC et al.,New Finding,
J-shaped relationship between cardiovascular risk and efficacy of intensive blood pressure reduction: A post-hoc analysis of the SPRINT trial.,https://doi.org/10.1371/journal.pone.0240102,33002071,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.13, Weighted sum of stars: 2.0,Very Good,4-Jan-21,Attar A et al.,Interesting Hypothesis,
Temperature anomalies and mortality events in marine communities: insights on factors behind differential mortality impacts in the NW Mediterranean.,https://doi.org/10.1371/journal.pone.0023814,21931615,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.9, Weighted sum of stars: 2.0,Very Good,19-Sep-11,Crisci C et al.,New Finding,
The concentration of soluble extracellular amyloid-β protein in acute brain slices from CRND8 mice.,https://doi.org/10.1371/journal.pone.0015709,21209950,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.89, Weighted sum of stars: 1.0,Good,19-Sep-11,Waters J,Technical Advance,
J-shaped relationship between cardiovascular risk and efficacy of intensive blood pressure reduction: A post-hoc analysis of the SPRINT trial.,https://doi.org/10.1371/journal.pone.0240102,33002071,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.13, Weighted sum of stars: 2.0,Very Good,4-Jan-21,Attar A et al.,Technical Advance,
Diagnostic accuracy of tests for type 2 diabetes and prediabetes: A systematic review and meta-analysis.,https://doi.org/10.1371/journal.pone.0242415,33216783,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.75, Weighted sum of stars: 2.0,Very Good,4-Jan-21,Kaur G et al.,New Finding,
Diagnostic accuracy of tests for type 2 diabetes and prediabetes: A systematic review and meta-analysis.,https://doi.org/10.1371/journal.pone.0242415,33216783,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.75, Weighted sum of stars: 2.0,Very Good,4-Jan-21,Kaur G et al.,Technical Advance,
Towards an understanding of the chemo-mechanical influences on kidney stone failure via the material point method.,https://doi.org/10.1371/journal.pone.0240133,33306670,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.16, Weighted sum of stars: 1.0,Good,3-Jan-21,Raymond SJ et al.,Technical Advance,
Honey bees (Apis cerana) use animal feces as a tool to defend colonies against group attack by giant hornets (Vespa soror).,https://doi.org/10.1371/journal.pone.0242668,33296376,Score 13.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.07, Weighted sum of stars: 3.0,Very Good,16-Dec-20,Mattila HR et al.,Good for Teaching,
Honey bees (Apis cerana) use animal feces as a tool to defend colonies against group attack by giant hornets (Vespa soror).,https://doi.org/10.1371/journal.pone.0242668,33296376,Score 13.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.07, Weighted sum of stars: 3.0,Very Good,16-Dec-20,Mattila HR et al.,Interesting Hypothesis,
AOAH remodels arachidonic acid-containing phospholipid pools in a model of interstitial cystitis pain: A MAPP Network study.,https://doi.org/10.1371/journal.pone.0235384,32925915,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.34, Weighted sum of stars: 1.0,Good,30-Sep-20,Yang W et al.,Interesting Hypothesis,
AOAH remodels arachidonic acid-containing phospholipid pools in a model of interstitial cystitis pain: A MAPP Network study.,https://doi.org/10.1371/journal.pone.0235384,32925915,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.34, Weighted sum of stars: 1.0,Good,30-Sep-20,Yang W et al.,New Finding,
AOAH remodels arachidonic acid-containing phospholipid pools in a model of interstitial cystitis pain: A MAPP Network study.,https://doi.org/10.1371/journal.pone.0235384,32925915,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.34, Weighted sum of stars: 1.0,Good,30-Sep-20,Yang W et al.,Novel Drug Target,
The influence of topical non-steroidal anti-inflammatory drugs on the intraocular pressure lowering effect of topical prostaglandin analogues-A systemic review and meta-analysis.,https://doi.org/10.1371/journal.pone.0239233,32925955,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.5, Weighted sum of stars: 2.0,Very Good,29-Sep-20,Lo KJ et al.,Good for Teaching,
The influence of topical non-steroidal anti-inflammatory drugs on the intraocular pressure lowering effect of topical prostaglandin analogues-A systemic review and meta-analysis.,https://doi.org/10.1371/journal.pone.0239233,32925955,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.5, Weighted sum of stars: 2.0,Very Good,29-Sep-20,Lo KJ et al.,Interesting Hypothesis,
Temporal dynamics of liver mitochondrial protein acetylation and succinylation and metabolites due to high fat diet and/or excess glucose or fructose.,https://doi.org/10.1371/journal.pone.0208973,30586434,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.42, Weighted sum of stars: 4.0,Exceptional,15-Sep-20,Meyer JG et al.,New Finding,
Evocalcet prevents ectopic calcification and parathyroid hyperplasia in rats with secondary hyperparathyroidism.,https://doi.org/10.1371/journal.pone.0232428,32343734,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.01, Weighted sum of stars: 1.0,Good,20-Aug-20,Sakai M et al.,New Finding,
Urinary cytokines in women with refractory detrusor overactivity: A longitudinal study of rotating antibiotic versus placebo treatment.,https://doi.org/10.1371/journal.pone.0247861,33657181,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.18, Weighted sum of stars: 1.0,Good,6-Apr-21,Chen Z et al.,Interesting Hypothesis,
Honey bees (Apis cerana) use animal feces as a tool to defend colonies against group attack by giant hornets (Vespa soror).,https://doi.org/10.1371/journal.pone.0242668,33296376,Score 13.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.07, Weighted sum of stars: 3.0,Very Good,16-Dec-20,Mattila HR et al.,New Finding,
Distribution and pharmacokinetics of methamphetamine in the human body: clinical implications.,https://doi.org/10.1371/journal.pone.0015269,21151866,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.74, Weighted sum of stars: 1.0,Good,19-Sep-11,Volkow ND et al.,New Finding,
Cancer cell-induced neutrophil extracellular traps promote both hypercoagulability and cancer progression.,https://doi.org/10.1371/journal.pone.0216055,31034495,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.97, Weighted sum of stars: 1.0,Good,1-Dec-20,Jung HS et al.,New Finding,
"Phase 2b study of evocalcet (KHK7580), a novel calcimimetic, in Japanese patients with secondary hyperparathyroidism undergoing hemodialysis: A randomized, double-blind, placebo-controlled, dose-finding study.",https://doi.org/10.1371/journal.pone.0204896,30379826,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.04, Weighted sum of stars: 1.0,Good,19-Aug-20,Akizawa T et al.,New Finding,
A vaccine against nicotine for smoking cessation: a randomized controlled trial.,https://doi.org/10.1371/journal.pone.0002547,18575629,Score 4.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.49, Weighted sum of stars: 1.0,Good,19-Sep-11,Cornuz J et al.,New Finding,
"A novel calcimimetic agent, evocalcet (MT-4580/KHK7580), suppresses the parathyroid cell function with little effect on the gastrointestinal tract or CYP isozymes in vivo and in vitro.",https://doi.org/10.1371/journal.pone.0195316,29614098,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.42, Weighted sum of stars: 1.0,Good,18-Aug-20,Kawata T et al.,New Finding,
Trynity controls epidermal barrier function and respiratory tube maturation in Drosophila by modulating apical extracellular matrix nano-patterning.,https://doi.org/10.1371/journal.pone.0209058,30576352,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.36, Weighted sum of stars: 1.0,Good,25-Nov-20,Itakura Y et al.,New Finding,
Alterations in adenosine metabolism and signaling in patients with chronic obstructive pulmonary disease and idiopathic pulmonary fibrosis.,https://doi.org/10.1371/journal.pone.0009224,20169073,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.87, Weighted sum of stars: 1.0,Good,18-Sep-11,Zhou Y et al.,New Finding,
An integrated analysis of safety and tolerability of etelcalcetide in patients receiving hemodialysis with secondary hyperparathyroidism.,https://doi.org/10.1371/journal.pone.0213774,30875390,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.78, Weighted sum of stars: 1.0,Good,17-Aug-20,Block GA et al.,New Finding,
Long term outcomes for elderly patients after emergency intensive care admission: A cohort study.,https://doi.org/10.1371/journal.pone.0241244,33119649,Score 4.6, Weighted sum of stars: 1.0,,Good,23-Nov-20,Dempsey G et al.,Confirmation,
Dopamine in motor cortex is necessary for skill learning and synaptic plasticity.,https://doi.org/10.1371/journal.pone.0007082,19759902,Score 14.1,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.96, Weighted sum of stars: 3.0,Good,10-Nov-09,Molina-Luna K et al.,Interesting Hypothesis,
Transmitters and pathways mediating inhibition of spinal itch-signaling neurons by scratching and other counterstimuli.,https://doi.org/10.1371/journal.pone.0022665,21818363,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.37, Weighted sum of stars: 2.0,Very Good,15-Sep-11,Akiyama T et al.,New Finding,
Vessel noise affects routine swimming and escape response of a coral reef fish.,https://doi.org/10.1371/journal.pone.0235742,32702032,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.15, Weighted sum of stars: 1.0,Good,13-Aug-20,Velasquez Jimenez L et al.,New Finding,
Cough dynamics in adults receiving tuberculosis treatment.,https://doi.org/10.1371/journal.pone.0231167,32511248,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.72, Weighted sum of stars: 1.0,Good,2-Aug-20,Lee GO et al.,Good for Teaching,
Cough dynamics in adults receiving tuberculosis treatment.,https://doi.org/10.1371/journal.pone.0231167,32511248,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.72, Weighted sum of stars: 1.0,Good,2-Aug-20,Lee GO et al.,New Finding,
Dopamine in motor cortex is necessary for skill learning and synaptic plasticity.,https://doi.org/10.1371/journal.pone.0007082,19759902,Score 14.1,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.96, Weighted sum of stars: 3.0,Good,10-Nov-09,Molina-Luna K et al.,New Finding,
Revisiting aneuploidy profile of surgically retrieved spermatozoa by whole exome sequencing molecular karyotype.,https://doi.org/10.1371/journal.pone.0210079,30608972,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.92, Weighted sum of stars: 4.0,Very Good,17-Jan-19,Cheung S et al.,Confirmation,
Revisiting aneuploidy profile of surgically retrieved spermatozoa by whole exome sequencing molecular karyotype.,https://doi.org/10.1371/journal.pone.0210079,30608972,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.92, Weighted sum of stars: 4.0,Very Good,17-Jan-19,Cheung S et al.,Interesting Hypothesis,
Cough dynamics in adults receiving tuberculosis treatment.,https://doi.org/10.1371/journal.pone.0231167,32511248,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.72, Weighted sum of stars: 1.0,Good,2-Aug-20,Lee GO et al.,Technical Advance,
Prognostic value of the myocardial salvage index measured by T2-weighted and T1-weighted late gadolinium enhancement magnetic resonance imaging after ST-segment elevation myocardial infarction: A systematic review and meta-regression analysis.,https://doi.org/10.1371/journal.pone.0228736,32053651,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.6, Weighted sum of stars: 2.0,Very Good,22-Jul-20,"Kendziora B, Dewey M",Confirmation,
Revisiting aneuploidy profile of surgically retrieved spermatozoa by whole exome sequencing molecular karyotype.,https://doi.org/10.1371/journal.pone.0210079,30608972,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.92, Weighted sum of stars: 4.0,Very Good,17-Jan-19,Cheung S et al.,New Finding,
HIV-1 Tat-induced microgliosis and synaptic damage via interactions between peripheral and central myeloid cells.,https://doi.org/10.1371/journal.pone.0023915,21912650,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.6, Weighted sum of stars: 4.0,Exceptional,15-Sep-11,Lu SM et al.,,
Assessment of α-synuclein secretion in mouse and human brain parenchyma.,https://doi.org/10.1371/journal.pone.0022225,21779395,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.58, Weighted sum of stars: 1.0,Good,14-Sep-11,Emmanouilidou E et al.,New Finding,
Assessment of α-synuclein secretion in mouse and human brain parenchyma.,https://doi.org/10.1371/journal.pone.0022225,21779395,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.58, Weighted sum of stars: 1.0,Good,14-Sep-11,Emmanouilidou E et al.,Technical Advance,
Farnesoid X receptor (FXR) activation and FXR genetic variation in inflammatory bowel disease.,https://doi.org/10.1371/journal.pone.0023745,21887309,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.53, Weighted sum of stars: 1.0,Good,14-Sep-11,Nijmeijer RM et al.,Confirmation,
"Automated smartphone-based system for measuring sperm viability, DNA fragmentation, and hyaluronic binding assay score.",https://doi.org/10.1371/journal.pone.0212562,30865652,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.98, Weighted sum of stars: 1.0,Good,17-Nov-20,Dimitriadis I et al.,New Finding,
Dopamine neurons do not constitute an obligatory stage in the final common path for the evaluation and pursuit of brain stimulation reward.,https://doi.org/10.1371/journal.pone.0226722,32502210,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.14, Weighted sum of stars: 1.0,Good,3-Nov-20,Trujillo-Pisanty I et al.,Controversial,
Dopamine neurons do not constitute an obligatory stage in the final common path for the evaluation and pursuit of brain stimulation reward.,https://doi.org/10.1371/journal.pone.0226722,32502210,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.14, Weighted sum of stars: 1.0,Good,3-Nov-20,Trujillo-Pisanty I et al.,Interesting Hypothesis,
Dopamine neurons do not constitute an obligatory stage in the final common path for the evaluation and pursuit of brain stimulation reward.,https://doi.org/10.1371/journal.pone.0226722,32502210,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.14, Weighted sum of stars: 1.0,Good,3-Nov-20,Trujillo-Pisanty I et al.,New Finding,
