title,doi,pmid,score,relative_citation_ratio,weighted_sum_of_stars,evaluation,recom_date,author,classifications
Widespread Genetic Incompatibilities between First-Step Mutations during Parallel Adaptation of Saccharomyces cerevisiae to a Common Environment.,https://doi.org/10.1371/journal.pbio.1002591,28114370,Score 13.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.09, Weighted sum of stars: 3.0,Very Good,07 Feb 2017,Ono J et al.,Good for Teaching
Big data: astronomical or genomical?,https://doi.org/10.1371/journal.pbio.1002195,26151137,Score 5.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 15.85, Weighted sum of stars: 1.0,Good,01 Nov 2016,Stephens ZD et al.,New Finding
A tetraploid intermediate precedes aneuploid formation in yeasts exposed to fluconazole.,https://doi.org/10.1371/journal.pbio.1001815,24642609,Score 46.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.11, Weighted sum of stars: 10.0,Very Good,25 Mar 2014,Harrison BD et al.,Good for Teaching
A tetraploid intermediate precedes aneuploid formation in yeasts exposed to fluconazole.,https://doi.org/10.1371/journal.pbio.1001815,24642609,Score 46.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.11, Weighted sum of stars: 10.0,Very Good,25 Mar 2014,Harrison BD et al.,Interesting Hypothesis
A tetraploid intermediate precedes aneuploid formation in yeasts exposed to fluconazole.,https://doi.org/10.1371/journal.pbio.1001815,24642609,Score 46.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.11, Weighted sum of stars: 10.0,Very Good,25 Mar 2014,Harrison BD et al.,New Finding
APOE stabilization by exercise prevents aging neurovascular dysfunction and complement induction.,https://doi.org/10.1371/journal.pbio.1002279,26512759,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.43, Weighted sum of stars: 1.0,Good,23 Jul 2017,Soto I et al.,New Finding
Relative citation ratio (RCR): A new metric that uses citation rates to measure influence at the article level.,https://doi.org/10.1371/journal.pbio.1002541,27599104,Score 28.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 9.75, Weighted sum of stars: 6.0,Very Good,26 Sep 2016,Hutchins BI et al.,Controversial
Relative citation ratio (RCR): A new metric that uses citation rates to measure influence at the article level.,https://doi.org/10.1371/journal.pbio.1002541,27599104,Score 28.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 9.75, Weighted sum of stars: 6.0,Very Good,26 Sep 2016,Hutchins BI et al.,Good for Teaching
Relative citation ratio (RCR): A new metric that uses citation rates to measure influence at the article level.,https://doi.org/10.1371/journal.pbio.1002541,27599104,Score 28.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 9.75, Weighted sum of stars: 6.0,Very Good,26 Sep 2016,Hutchins BI et al.,New Finding
A tetraploid intermediate precedes aneuploid formation in yeasts exposed to fluconazole.,https://doi.org/10.1371/journal.pbio.1001815,24642609,Score 46.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.11, Weighted sum of stars: 10.0,Very Good,25 Mar 2014,Harrison BD et al.,Novel Drug Target
"Discovery of a ""white-gray-opaque"" tristable phenotypic switching system in candida albicans: roles of non-genetic diversity in host adaptation.",https://doi.org/10.1371/journal.pbio.1001830,24691005,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.72, Weighted sum of stars: 1.0,Good,19 Oct 2016,Tao L et al.,New Finding
Functional Sites Induce Long-Range Evolutionary Constraints in Enzymes.,https://doi.org/10.1371/journal.pbio.1002452,27138088,Score 27.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.61, Weighted sum of stars: 6.0,Exceptional,05 Oct 2016,Jack BR et al.,Good for Teaching
Functional Sites Induce Long-Range Evolutionary Constraints in Enzymes.,https://doi.org/10.1371/journal.pbio.1002452,27138088,Score 27.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.61, Weighted sum of stars: 6.0,Exceptional,05 Oct 2016,Jack BR et al.,Interesting Hypothesis
Relative citation ratio (RCR): A new metric that uses citation rates to measure influence at the article level.,https://doi.org/10.1371/journal.pbio.1002541,27599104,Score 28.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 9.75, Weighted sum of stars: 6.0,Very Good,26 Sep 2016,Hutchins BI et al.,Technical Advance
The in vivo structure of biological membranes and evidence for lipid domains.,https://doi.org/10.1371/journal.pbio.2002214,28542493,Score 18.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.81, Weighted sum of stars: 4.0,Exceptional,06 Jun 2017,Nickels JD et al.,New Finding
Widespread Genetic Incompatibilities between First-Step Mutations during Parallel Adaptation of Saccharomyces cerevisiae to a Common Environment.,https://doi.org/10.1371/journal.pbio.1002591,28114370,Score 13.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.09, Weighted sum of stars: 3.0,Very Good,07 Feb 2017,Ono J et al.,New Finding
Roles of the TRAPP-II Complex and the Exocyst in Membrane Deposition during Fission Yeast Cytokinesis.,https://doi.org/10.1371/journal.pbio.1002437,27082518,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.69, Weighted sum of stars: 1.0,Good,12 Jan 2017,Wang N et al.,Confirmation
The in vivo structure of biological membranes and evidence for lipid domains.,https://doi.org/10.1371/journal.pbio.2002214,28542493,Score 18.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.81, Weighted sum of stars: 4.0,Exceptional,06 Jun 2017,Nickels JD et al.,Technical Advance
Teaching genetics prior to teaching evolution improves evolution understanding but not acceptance.,https://doi.org/10.1371/journal.pbio.2002255,28542179,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.77, Weighted sum of stars: 4.0,Very Good,30 May 2017,Mead R et al.,Good for Teaching
Functional Sites Induce Long-Range Evolutionary Constraints in Enzymes.,https://doi.org/10.1371/journal.pbio.1002452,27138088,Score 27.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.61, Weighted sum of stars: 6.0,Exceptional,05 Oct 2016,Jack BR et al.,New Finding
Roles of the TRAPP-II Complex and the Exocyst in Membrane Deposition during Fission Yeast Cytokinesis.,https://doi.org/10.1371/journal.pbio.1002437,27082518,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.69, Weighted sum of stars: 1.0,Good,12 Jan 2017,Wang N et al.,New Finding
Teaching genetics prior to teaching evolution improves evolution understanding but not acceptance.,https://doi.org/10.1371/journal.pbio.2002255,28542179,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.77, Weighted sum of stars: 4.0,Very Good,30 May 2017,Mead R et al.,New Finding
Alteration of protein function by a silent polymorphism linked to tRNA abundance.,https://doi.org/10.1371/journal.pbio.2000779,28510592,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.95, Weighted sum of stars: 2.0,Very Good,21 May 2017,Kirchner S et al.,Interesting Hypothesis
Alteration of protein function by a silent polymorphism linked to tRNA abundance.,https://doi.org/10.1371/journal.pbio.2000779,28510592,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.95, Weighted sum of stars: 2.0,Very Good,21 May 2017,Kirchner S et al.,New Finding
Chasing Ecological Interactions.,https://doi.org/10.1371/journal.pbio.1002559,27631692,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.19, Weighted sum of stars: 1.0,Good,22 Sep 2016,Jordano P,Confirmation
Natural Variation in Arabidopsis Cvi-0 Accession Reveals an Important Role of MPK12 in Guard Cell CO2 Signaling.,https://doi.org/10.1371/journal.pbio.2000322,27923039,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.94, Weighted sum of stars: 2.0,Very Good,09 Jan 2017,Jakobson L et al.,New Finding
Evolution of High Cellulolytic Activity in Symbiotic Streptomyces through Selection of Expanded Gene Content and Coordinated Gene Expression.,https://doi.org/10.1371/journal.pbio.1002475,27276034,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.47, Weighted sum of stars: 2.0,Very Good,20 Nov 2016,Book AJ et al.,New Finding
Platelets guide leukocytes to their sites of extravasation.,https://doi.org/10.1371/journal.pbio.1002459,27152726,Score 4.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.23, Weighted sum of stars: 1.0,Good,07 Sep 2016,Zuchtriegel G et al.,New Finding
Melanopsin Regulates Both Sleep-Promoting and Arousal-Promoting Responses to Light.,https://doi.org/10.1371/journal.pbio.1002482,27276063,Score 9.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.86, Weighted sum of stars: 2.0,Very Good,24 Aug 2016,Pilorz V et al.,Interesting Hypothesis
Topological Small-World Organization of the Fibroblastic Reticular Cell Network Determines Lymph Node Functionality.,https://doi.org/10.1371/journal.pbio.1002515,27415420,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.19, Weighted sum of stars: 1.0,Good,19 Jul 2016,Novkovic M et al.,Confirmation
Melanopsin Regulates Both Sleep-Promoting and Arousal-Promoting Responses to Light.,https://doi.org/10.1371/journal.pbio.1002482,27276063,Score 9.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.86, Weighted sum of stars: 2.0,Very Good,24 Aug 2016,Pilorz V et al.,New Finding
Topological Small-World Organization of the Fibroblastic Reticular Cell Network Determines Lymph Node Functionality.,https://doi.org/10.1371/journal.pbio.1002515,27415420,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.19, Weighted sum of stars: 1.0,Good,19 Jul 2016,Novkovic M et al.,New Finding
Crystal Structure of an Ammonia-Permeable Aquaporin.,https://doi.org/10.1371/journal.pbio.1002411,27028365,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.5, Weighted sum of stars: 2.0,Very Good,06 Jun 2016,Kirscht A et al.,Interesting Hypothesis
Crystal Structure of an Ammonia-Permeable Aquaporin.,https://doi.org/10.1371/journal.pbio.1002411,27028365,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.5, Weighted sum of stars: 2.0,Very Good,06 Jun 2016,Kirscht A et al.,New Finding
Horizontal DNA transfer mechanisms of bacteria as weapons of intragenomic conflict.,https://doi.org/10.1371/journal.pbio.1002394,26934590,Score 23.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.25, Weighted sum of stars: 5.0,Exceptional,10 May 2016,Croucher NJ et al.,Good for Teaching
Horizontal DNA transfer mechanisms of bacteria as weapons of intragenomic conflict.,https://doi.org/10.1371/journal.pbio.1002394,26934590,Score 23.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.25, Weighted sum of stars: 5.0,Exceptional,10 May 2016,Croucher NJ et al.,Interesting Hypothesis
Gβ Regulates Coupling between Actin Oscillators for Cell Polarity and Directional Migration.,https://doi.org/10.1371/journal.pbio.1002381,26890004,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.64, Weighted sum of stars: 2.0,Very Good,01 Aug 2016,Hoeller O et al.,New Finding
Fecal transplants: what is being transferred?,https://doi.org/10.1371/journal.pbio.1002503,27404502,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.27, Weighted sum of stars: 1.0,Good,19 Jul 2016,"Bojanova DP, Bordenstein SR",Good for Teaching
Fecal transplants: what is being transferred?,https://doi.org/10.1371/journal.pbio.1002503,27404502,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.27, Weighted sum of stars: 1.0,Good,19 Jul 2016,"Bojanova DP, Bordenstein SR",Negative / Null Results
Fecal transplants: what is being transferred?,https://doi.org/10.1371/journal.pbio.1002503,27404502,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.27, Weighted sum of stars: 1.0,Good,19 Jul 2016,"Bojanova DP, Bordenstein SR",New Finding
Horizontal DNA transfer mechanisms of bacteria as weapons of intragenomic conflict.,https://doi.org/10.1371/journal.pbio.1002394,26934590,Score 23.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.25, Weighted sum of stars: 5.0,Exceptional,10 May 2016,Croucher NJ et al.,New Finding
Comparative Developmental Transcriptomics Reveals Rewiring of a Highly Conserved Gene Regulatory Network during a Major Life History Switch in the Sea Urchin Genus Heliocidaris.,https://doi.org/10.1371/journal.pbio.1002391,26943850,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.29, Weighted sum of stars: 1.0,Good,24 May 2016,Israel JW et al.,Good for Teaching
Comparative Developmental Transcriptomics Reveals Rewiring of a Highly Conserved Gene Regulatory Network during a Major Life History Switch in the Sea Urchin Genus Heliocidaris.,https://doi.org/10.1371/journal.pbio.1002391,26943850,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.29, Weighted sum of stars: 1.0,Good,24 May 2016,Israel JW et al.,New Finding
The Maternal Maverick/GDF15-like TGF-β Ligand Panda Directs Dorsal-Ventral Axis Formation by Restricting Nodal Expression in the Sea Urchin Embryo.,https://doi.org/10.1371/journal.pbio.1002247,26352141,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.92, Weighted sum of stars: 1.0,Good,15 Feb 2016,Haillot E et al.,New Finding
Comparative Developmental Transcriptomics Reveals Rewiring of a Highly Conserved Gene Regulatory Network during a Major Life History Switch in the Sea Urchin Genus Heliocidaris.,https://doi.org/10.1371/journal.pbio.1002391,26943850,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.29, Weighted sum of stars: 1.0,Good,24 May 2016,Israel JW et al.,Technical Advance
An equatorial contractile mechanism drives cell elongation but not cell division.,https://doi.org/10.1371/journal.pbio.1001781,24503569,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.72, Weighted sum of stars: 1.0,Good,22 May 2016,Sehring IM et al.,New Finding
Integration of canonical and noncanonical Wnt signaling pathways patterns the neuroectoderm along the anterior-posterior axis of sea urchin embryos.,https://doi.org/10.1371/journal.pbio.1001467,23335859,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.43, Weighted sum of stars: 1.0,Good,15 Feb 2016,Range RC et al.,New Finding
Natural killer cell lytic granule secretion occurs through a pervasive actin network at the immune synapse.,https://doi.org/10.1371/journal.pbio.1001151,21931536,Score 23.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.77, Weighted sum of stars: 5.0,Very Good,16 Sep 2015,Rak GD et al.,New Finding
Opposing nodal and BMP signals regulate left-right asymmetry in the sea urchin larva.,https://doi.org/10.1371/journal.pbio.1001402,23055827,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.18, Weighted sum of stars: 1.0,Good,15 Feb 2016,"Luo YJ, Su YH",New Finding
Biofilm formation as a response to ecological competition.,https://doi.org/10.1371/journal.pbio.1002191,26158271,Score 28.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.49, Weighted sum of stars: 6.0,Very Good,16 Jul 2015,Oliveira NM et al.,Confirmation
Biofilm formation as a response to ecological competition.,https://doi.org/10.1371/journal.pbio.1002191,26158271,Score 28.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.49, Weighted sum of stars: 6.0,Very Good,16 Jul 2015,Oliveira NM et al.,Controversial
Biofilm formation as a response to ecological competition.,https://doi.org/10.1371/journal.pbio.1002191,26158271,Score 28.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.49, Weighted sum of stars: 6.0,Very Good,16 Jul 2015,Oliveira NM et al.,Good for Teaching
Biofilm formation as a response to ecological competition.,https://doi.org/10.1371/journal.pbio.1002191,26158271,Score 28.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.49, Weighted sum of stars: 6.0,Very Good,16 Jul 2015,Oliveira NM et al.,Interesting Hypothesis
Neurotransmitter-triggered transfer of exosomes mediates oligodendrocyte-neuron communication.,https://doi.org/10.1371/journal.pbio.1001604,23874151,Score 5.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 18.04, Weighted sum of stars: 1.0,Good,10 Feb 2016,Frühbeis C et al.,New Finding
Cognitive Impairment Induced by Delta9-tetrahydrocannabinol Occurs through Heteromers between Cannabinoid CB1 and Serotonin 5-HT2A Receptors.,https://doi.org/10.1371/journal.pbio.1002194,26158621,Score 4.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.63, Weighted sum of stars: 1.0,Good,04 May 2016,Viñals X et al.,New Finding
Neuropeptide-Driven Cross-Modal Plasticity following Sensory Loss in Caenorhabditis elegans.,https://doi.org/10.1371/journal.pbio.1002348,26745270,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.67, Weighted sum of stars: 1.0,Good,31 Jan 2016,Rabinowitch I et al.,New Finding
"A genetically encoded tag for correlated light and electron microscopy of intact cells, tissues, and organisms.",https://doi.org/10.1371/journal.pbio.1001041,21483721,Score 115.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 14.37, Weighted sum of stars: 25.0,Exceptional,19 Apr 2011,Shu X et al.,New Finding
Growth-Blocking Peptides As Nutrition-Sensitive Signals for Insulin Secretion and Body Size Regulation.,https://doi.org/10.1371/journal.pbio.1002392,26928023,Score 18.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.26, Weighted sum of stars: 4.0,Exceptional,13 Apr 2016,"Koyama T, Mirth CK",New Finding
Biofilm formation as a response to ecological competition.,https://doi.org/10.1371/journal.pbio.1002191,26158271,Score 28.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.49, Weighted sum of stars: 6.0,Very Good,16 Jul 2015,Oliveira NM et al.,New Finding
Beyond bar and line graphs: time for a new data presentation paradigm.,https://doi.org/10.1371/journal.pbio.1002128,25901488,Score 102.1,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 15.65, Weighted sum of stars: 22.0,Very Good,25 May 2015,Weissgerber TL et al.,Confirmation
Beyond bar and line graphs: time for a new data presentation paradigm.,https://doi.org/10.1371/journal.pbio.1002128,25901488,Score 102.1,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 15.65, Weighted sum of stars: 22.0,Very Good,25 May 2015,Weissgerber TL et al.,Controversial
Beyond bar and line graphs: time for a new data presentation paradigm.,https://doi.org/10.1371/journal.pbio.1002128,25901488,Score 102.1,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 15.65, Weighted sum of stars: 22.0,Very Good,25 May 2015,Weissgerber TL et al.,Good for Teaching
Beyond bar and line graphs: time for a new data presentation paradigm.,https://doi.org/10.1371/journal.pbio.1002128,25901488,Score 102.1,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 15.65, Weighted sum of stars: 22.0,Very Good,25 May 2015,Weissgerber TL et al.,New Finding
Remodelling of cortical actin where lytic granules dock at natural killer cell immune synapses revealed by super-resolution microscopy.,https://doi.org/10.1371/journal.pbio.1001152,21931537,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.71, Weighted sum of stars: 1.0,Good,16 Mar 2016,Brown AC et al.,New Finding
The mechanochemistry of endocytosis.,https://doi.org/10.1371/journal.pbio.1000204,19787029,Score 14.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.33, Weighted sum of stars: 3.0,Good,16 Sep 2014,Liu J et al.,Interesting Hypothesis
The mechanochemistry of endocytosis.,https://doi.org/10.1371/journal.pbio.1000204,19787029,Score 14.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.33, Weighted sum of stars: 3.0,Good,16 Sep 2014,Liu J et al.,New Finding
"A genetically encoded tag for correlated light and electron microscopy of intact cells, tissues, and organisms.",https://doi.org/10.1371/journal.pbio.1001041,21483721,Score 115.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 14.37, Weighted sum of stars: 25.0,Exceptional,19 Apr 2011,Shu X et al.,Technical Advance
Serial block-face scanning electron microscopy to reconstruct three-dimensional tissue nanostructure.,https://doi.org/10.1371/journal.pbio.0020329,15514700,Score 37.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 19.48, Weighted sum of stars: 8.0,Exceptional,30 Nov 2004,"Denk W, Horstmann H",Technical Advance
Natural selection constrains neutral diversity across a wide range of species.,https://doi.org/10.1371/journal.pbio.1002112,25859758,Score 23.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.59, Weighted sum of stars: 5.0,Very Good,20 Apr 2015,Corbett-Detig RB et al.,Confirmation
Natural selection constrains neutral diversity across a wide range of species.,https://doi.org/10.1371/journal.pbio.1002112,25859758,Score 23.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.59, Weighted sum of stars: 5.0,Very Good,20 Apr 2015,Corbett-Detig RB et al.,Controversial
Natural selection constrains neutral diversity across a wide range of species.,https://doi.org/10.1371/journal.pbio.1002112,25859758,Score 23.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.59, Weighted sum of stars: 5.0,Very Good,20 Apr 2015,Corbett-Detig RB et al.,Good for Teaching
Natural selection constrains neutral diversity across a wide range of species.,https://doi.org/10.1371/journal.pbio.1002112,25859758,Score 23.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 6.59, Weighted sum of stars: 5.0,Very Good,20 Apr 2015,Corbett-Detig RB et al.,New Finding
A voltage-gated calcium channel regulates lysosomal fusion with endosomes and autophagosomes and is required for neuronal homeostasis.,https://doi.org/10.1371/journal.pbio.1002103,25811491,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.45, Weighted sum of stars: 2.0,Very Good,21 Apr 2015,Tian X et al.,New Finding
Integration of shallow gradients of Shh and Netrin-1 guides commissural axons.,https://doi.org/10.1371/journal.pbio.1002119,25826604,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.49, Weighted sum of stars: 2.0,Very Good,14 Apr 2015,Sloan TF et al.,Good for Teaching
Integration of shallow gradients of Shh and Netrin-1 guides commissural axons.,https://doi.org/10.1371/journal.pbio.1002119,25826604,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.49, Weighted sum of stars: 2.0,Very Good,14 Apr 2015,Sloan TF et al.,New Finding
Dally proteoglycan mediates the autonomous and nonautonomous effects on tissue growth caused by activation of the PI3K and TOR pathways.,https://doi.org/10.1371/journal.pbio.1002239,26313758,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.5, Weighted sum of stars: 2.0,Very Good,07 Sep 2015,"Ferreira A, Milán M",New Finding
"The Discovery, Distribution, and Evolution of Viruses Associated with Drosophila melanogaster.",https://doi.org/10.1371/journal.pbio.1002210,26172158,Score 18.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 7.9, Weighted sum of stars: 4.0,Exceptional,24 Aug 2015,Webster CL et al.,New Finding
Signature Patterns of MHC Diversity in Three Gombe Communities of Wild Chimpanzees Reflect Fitness in Reproduction and Immune Defense against SIVcpz.,https://doi.org/10.1371/journal.pbio.1002144,26020813,Score 27.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.95, Weighted sum of stars: 6.0,Exceptional,01 Jun 2015,Wroblewski EE et al.,Good for Teaching
Signature Patterns of MHC Diversity in Three Gombe Communities of Wild Chimpanzees Reflect Fitness in Reproduction and Immune Defense against SIVcpz.,https://doi.org/10.1371/journal.pbio.1002144,26020813,Score 27.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.95, Weighted sum of stars: 6.0,Exceptional,01 Jun 2015,Wroblewski EE et al.,Interesting Hypothesis
Integration of shallow gradients of Shh and Netrin-1 guides commissural axons.,https://doi.org/10.1371/journal.pbio.1002119,25826604,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.49, Weighted sum of stars: 2.0,Very Good,14 Apr 2015,Sloan TF et al.,Technical Advance
Signature Patterns of MHC Diversity in Three Gombe Communities of Wild Chimpanzees Reflect Fitness in Reproduction and Immune Defense against SIVcpz.,https://doi.org/10.1371/journal.pbio.1002144,26020813,Score 27.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.95, Weighted sum of stars: 6.0,Exceptional,01 Jun 2015,Wroblewski EE et al.,New Finding
The fitness consequences of aneuploidy are driven by condition-dependent gene effects.,https://doi.org/10.1371/journal.pbio.1002155,26011532,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.06, Weighted sum of stars: 2.0,Very Good,28 Jul 2015,Sunshine AB et al.,Good for Teaching
The fitness consequences of aneuploidy are driven by condition-dependent gene effects.,https://doi.org/10.1371/journal.pbio.1002155,26011532,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.06, Weighted sum of stars: 2.0,Very Good,28 Jul 2015,Sunshine AB et al.,Technical Advance
Evolution of sexes from an ancestral mating-type specification pathway.,https://doi.org/10.1371/journal.pbio.1001904,25003332,Score 41.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.68, Weighted sum of stars: 9.0,Good,11 Aug 2014,Geng S et al.,Confirmation
Evolution of sexes from an ancestral mating-type specification pathway.,https://doi.org/10.1371/journal.pbio.1001904,25003332,Score 41.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.68, Weighted sum of stars: 9.0,Good,11 Aug 2014,Geng S et al.,Interesting Hypothesis
