title,doi,pmid,score,relative_citation_ratio,weighted_sum_of_stars,evaluation,recom_date,author,classifications
Cell Sorting and Noise-Induced Cell Plasticity Coordinate to Sharpen Boundaries between Gene Expression Domains.,https://doi.org/10.1371/journal.pcbi.1005307,28135279,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.52, Weighted sum of stars: 2.0,Very Good,09 Aug 2018,Wang Q et al.,New Finding
Defining the estimated core genome of bacterial populations using a Bayesian decision model.,https://doi.org/10.1371/journal.pcbi.1003788,25144616,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.47, Weighted sum of stars: 2.0,Very Good,06 Nov 2017,van Tonder AJ et al.,Technical Advance
Machine learning to design integral membrane channelrhodopsins for efficient eukaryotic expression and plasma membrane localization.,https://doi.org/10.1371/journal.pcbi.1005786,29059183,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.48, Weighted sum of stars: 4.0,Exceptional,31 Oct 2017,Bedbrook CN et al.,Good for Teaching
Ten simple rules for reproducible computational research.,https://doi.org/10.1371/journal.pcbi.1003285,24204232,Score 5.1,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 8.35, Weighted sum of stars: 1.0,Good,20 Feb 2019,Sandve GK et al.,Good for Teaching
Ten simple rules for developing good reading habits during graduate school and beyond.,https://doi.org/10.1371/journal.pcbi.1006467,30307941,Score 55.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.21, Weighted sum of stars: 12.0,Good,10 Dec 2018,Méndez M,Confirmation
Ten simple rules for developing good reading habits during graduate school and beyond.,https://doi.org/10.1371/journal.pcbi.1006467,30307941,Score 55.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.21, Weighted sum of stars: 12.0,Good,10 Dec 2018,Méndez M,Good for Teaching
Systems biology reveals how altered TGFβ signalling with age reduces protection against pro-inflammatory stimuli.,https://doi.org/10.1371/journal.pcbi.1006685,30677026,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.57, Weighted sum of stars: 1.0,Good,10 Feb 2019,Hodgson D et al.,Confirmation
Systems biology reveals how altered TGFβ signalling with age reduces protection against pro-inflammatory stimuli.,https://doi.org/10.1371/journal.pcbi.1006685,30677026,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.57, Weighted sum of stars: 1.0,Good,10 Feb 2019,Hodgson D et al.,Technical Advance
Cell Sorting and Noise-Induced Cell Plasticity Coordinate to Sharpen Boundaries between Gene Expression Domains.,https://doi.org/10.1371/journal.pcbi.1005307,28135279,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.52, Weighted sum of stars: 2.0,Very Good,09 Aug 2018,Wang Q et al.,Technical Advance
Could a neuroscientist understand a microprocessor?,https://doi.org/10.1371/journal.pcbi.1005268,28081141,Score 27.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.06, Weighted sum of stars: 6.0,Exceptional,22 Mar 2018,"Jonas E, Kording KP",Controversial
Could a neuroscientist understand a microprocessor?,https://doi.org/10.1371/journal.pcbi.1005268,28081141,Score 27.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.06, Weighted sum of stars: 6.0,Exceptional,22 Mar 2018,"Jonas E, Kording KP",Good for Teaching
Could a neuroscientist understand a microprocessor?,https://doi.org/10.1371/journal.pcbi.1005268,28081141,Score 27.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.06, Weighted sum of stars: 6.0,Exceptional,22 Mar 2018,"Jonas E, Kording KP",Interesting Hypothesis
Machine learning to design integral membrane channelrhodopsins for efficient eukaryotic expression and plasma membrane localization.,https://doi.org/10.1371/journal.pcbi.1005786,29059183,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.48, Weighted sum of stars: 4.0,Exceptional,31 Oct 2017,Bedbrook CN et al.,Technical Advance
Multidomain analyses of a longitudinal human microbiome intestinal cleanout perturbation experiment.,https://doi.org/10.1371/journal.pcbi.1005706,28821012,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.89, Weighted sum of stars: 1.0,Good,21 Sep 2017,Fukuyama J et al.,Technical Advance
Managing uncertainty in metabolic network structure and improving predictions using EnsembleFBA.,https://doi.org/10.1371/journal.pcbi.1005413,28263984,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.26, Weighted sum of stars: 2.0,Very Good,10 Aug 2017,"Biggs MB, Papin JA",Good for Teaching
Could a neuroscientist understand a microprocessor?,https://doi.org/10.1371/journal.pcbi.1005268,28081141,Score 27.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 4.06, Weighted sum of stars: 6.0,Exceptional,22 Mar 2018,"Jonas E, Kording KP",Refutation
Managing uncertainty in metabolic network structure and improving predictions using EnsembleFBA.,https://doi.org/10.1371/journal.pcbi.1005413,28263984,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.26, Weighted sum of stars: 2.0,Very Good,10 Aug 2017,"Biggs MB, Papin JA",Technical Advance
Modeling disordered protein interactions from biophysical principles.,https://doi.org/10.1371/journal.pcbi.1005485,28394890,Score 23.1,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.74, Weighted sum of stars: 5.0,Good,01 Jun 2017,Peterson LX et al.,Good for Teaching
Modeling disordered protein interactions from biophysical principles.,https://doi.org/10.1371/journal.pcbi.1005485,28394890,Score 23.1,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.74, Weighted sum of stars: 5.0,Good,01 Jun 2017,Peterson LX et al.,Technical Advance
OpenMM 7: Rapid development of high performance algorithms for molecular dynamics.,https://doi.org/10.1371/journal.pcbi.1005659,28746339,Score 7.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 47.2, Weighted sum of stars: 1.0,Good,18 Jul 2018,Eastman P et al.,New Finding
Network inference reveals novel connections in pathways regulating growth and defense in the yeast salt response.,https://doi.org/10.1371/journal.pcbi.1006088,29738528,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.62, Weighted sum of stars: 1.0,Good,11 Jun 2018,MacGilvray ME et al.,New Finding
Oncodomains: A protein domain-centric framework for analyzing rare variants in tumor samples.,https://doi.org/10.1371/journal.pcbi.1005428,28426665,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.59, Weighted sum of stars: 2.0,Very Good,17 May 2017,Peterson TA et al.,New Finding
Text Mining Genotype-Phenotype Relationships from Biomedical Literature for Database Curation and Precision Medicine.,https://doi.org/10.1371/journal.pcbi.1005017,27902695,Score 13.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.46, Weighted sum of stars: 3.0,Good,20 Apr 2017,Singhal A et al.,Good for Teaching
A Drug-Centric View of Drug Development: How Drugs Spread from Disease to Disease.,https://doi.org/10.1371/journal.pcbi.1004852,27124390,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.8, Weighted sum of stars: 2.0,Very Good,31 May 2016,Rodriguez-Esteban R,Controversial
A Drug-Centric View of Drug Development: How Drugs Spread from Disease to Disease.,https://doi.org/10.1371/journal.pcbi.1004852,27124390,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.8, Weighted sum of stars: 2.0,Very Good,31 May 2016,Rodriguez-Esteban R,Good for Teaching
The Contribution of High-Order Metabolic Interactions to the Global Activity of a Four-Species Microbial Community.,https://doi.org/10.1371/journal.pcbi.1005079,27623159,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.46, Weighted sum of stars: 1.0,Good,25 Sep 2016,"Guo X, Boedicker JQ",Confirmation
The Contribution of High-Order Metabolic Interactions to the Global Activity of a Four-Species Microbial Community.,https://doi.org/10.1371/journal.pcbi.1005079,27623159,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.46, Weighted sum of stars: 1.0,Good,25 Sep 2016,"Guo X, Boedicker JQ",Good for Teaching
A Drug-Centric View of Drug Development: How Drugs Spread from Disease to Disease.,https://doi.org/10.1371/journal.pcbi.1004852,27124390,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.8, Weighted sum of stars: 2.0,Very Good,31 May 2016,Rodriguez-Esteban R,Interesting Hypothesis
Text Mining Genotype-Phenotype Relationships from Biomedical Literature for Database Curation and Precision Medicine.,https://doi.org/10.1371/journal.pcbi.1005017,27902695,Score 13.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.46, Weighted sum of stars: 3.0,Good,20 Apr 2017,Singhal A et al.,Technical Advance
"Tissue-Specificity of Gene Expression Diverges Slowly between Orthologs, and Rapidly between Paralogs.",https://doi.org/10.1371/journal.pcbi.1005274,28030541,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.33, Weighted sum of stars: 1.0,Good,20 Apr 2017,"Kryuchkova-Mostacci N, Robinson-Rechavi M",Confirmation
"Tissue-Specificity of Gene Expression Diverges Slowly between Orthologs, and Rapidly between Paralogs.",https://doi.org/10.1371/journal.pcbi.1005274,28030541,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.33, Weighted sum of stars: 1.0,Good,20 Apr 2017,"Kryuchkova-Mostacci N, Robinson-Rechavi M",Good for Teaching
"Tissue-Specificity of Gene Expression Diverges Slowly between Orthologs, and Rapidly between Paralogs.",https://doi.org/10.1371/journal.pcbi.1005274,28030541,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.33, Weighted sum of stars: 1.0,Good,20 Apr 2017,"Kryuchkova-Mostacci N, Robinson-Rechavi M",Interesting Hypothesis
The genealogical population dynamics of HIV-1 in a large transmission chain: bridging within and among host evolutionary rates.,https://doi.org/10.1371/journal.pcbi.1003505,24699231,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.32, Weighted sum of stars: 2.0,Very Good,19 Apr 2017,Vrancken B et al.,New Finding
The Contribution of High-Order Metabolic Interactions to the Global Activity of a Four-Species Microbial Community.,https://doi.org/10.1371/journal.pcbi.1005079,27623159,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.46, Weighted sum of stars: 1.0,Good,25 Sep 2016,"Guo X, Boedicker JQ",Technical Advance
Model-based traction force microscopy reveals differential tension in cellular actin bundles.,https://doi.org/10.1371/journal.pcbi.1004076,25748431,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.45, Weighted sum of stars: 1.0,Good,31 Aug 2016,Soiné JR et al.,New Finding
Network plasticity as bayesian inference.,https://doi.org/10.1371/journal.pcbi.1004485,26545099,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.67, Weighted sum of stars: 4.0,Exceptional,03 Apr 2016,Kappel D et al.,Interesting Hypothesis
Steering Evolution with Sequential Therapy to Prevent the Emergence of Bacterial Antibiotic Resistance.,https://doi.org/10.1371/journal.pcbi.1004493,26360300,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.7, Weighted sum of stars: 1.0,Good,23 Feb 2016,Nichol D et al.,Interesting Hypothesis
The Multilayer Connectome of Caenorhabditis elegans.,https://doi.org/10.1371/journal.pcbi.1005283,27984591,Score 18.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.36, Weighted sum of stars: 4.0,Exceptional,30 Mar 2017,Bentley B et al.,New Finding
The power of malaria vaccine trials using controlled human malaria infection.,https://doi.org/10.1371/journal.pcbi.1005255,28081133,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.88, Weighted sum of stars: 2.0,Very Good,23 Feb 2017,Coffeng LE et al.,Good for Teaching
The power of malaria vaccine trials using controlled human malaria infection.,https://doi.org/10.1371/journal.pcbi.1005255,28081133,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.88, Weighted sum of stars: 2.0,Very Good,23 Feb 2017,Coffeng LE et al.,New Finding
Steering Evolution with Sequential Therapy to Prevent the Emergence of Bacterial Antibiotic Resistance.,https://doi.org/10.1371/journal.pcbi.1004493,26360300,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.7, Weighted sum of stars: 1.0,Good,23 Feb 2016,Nichol D et al.,New Finding
Model-based traction force microscopy reveals differential tension in cellular actin bundles.,https://doi.org/10.1371/journal.pcbi.1004076,25748431,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.45, Weighted sum of stars: 1.0,Good,31 Aug 2016,Soiné JR et al.,Technical Advance
Speeding up ecological and evolutionary computations in R; essentials of high performance computing for biologists.,https://doi.org/10.1371/journal.pcbi.1004140,25811842,Score 13.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.11, Weighted sum of stars: 3.0,Good,27 Jul 2015,Visser MD et al.,Good for Teaching
Speeding up ecological and evolutionary computations in R; essentials of high performance computing for biologists.,https://doi.org/10.1371/journal.pcbi.1004140,25811842,Score 13.9,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.11, Weighted sum of stars: 3.0,Good,27 Jul 2015,Visser MD et al.,Technical Advance
Extracting diffusive states of rho gtpase in live cells: towards in vivo biochemistry.,https://doi.org/10.1371/journal.pcbi.1004297,26512894,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.48, Weighted sum of stars: 1.0,Good,18 Jul 2016,Koo PK et al.,New Finding
The power of malaria vaccine trials using controlled human malaria infection.,https://doi.org/10.1371/journal.pcbi.1005255,28081133,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.88, Weighted sum of stars: 2.0,Very Good,23 Feb 2017,Coffeng LE et al.,Technical Advance
Practical approaches for detecting selection in microbial genomes.,https://doi.org/10.1371/journal.pcbi.1004739,26867134,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.55, Weighted sum of stars: 1.0,Good,21 Feb 2016,"Hedge J, Wilson DJ",Good for Teaching
Extracting diffusive states of rho gtpase in live cells: towards in vivo biochemistry.,https://doi.org/10.1371/journal.pcbi.1004297,26512894,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.48, Weighted sum of stars: 1.0,Good,18 Jul 2016,Koo PK et al.,Technical Advance
ECOD: an evolutionary classification of protein domains.,https://doi.org/10.1371/journal.pcbi.1003926,25474468,Score 14.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.52, Weighted sum of stars: 3.0,Very Good,04 Jul 2016,Cheng H et al.,Good for Teaching
Semantic similarity in biomedical ontologies.,https://doi.org/10.1371/journal.pcbi.1000443,19649320,Score 9.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 9.01, Weighted sum of stars: 2.0,Very Good,21 Feb 2017,Pesquita C et al.,Good for Teaching
Phylogenetic quantification of intra-tumour heterogeneity.,https://doi.org/10.1371/journal.pcbi.1003535,24743184,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.45, Weighted sum of stars: 4.0,Exceptional,30 Jan 2017,Schwarz RF et al.,Good for Teaching
A Pan-Cancer Catalogue of Cancer Driver Protein Interaction Interfaces.,https://doi.org/10.1371/journal.pcbi.1004518,26485003,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.3, Weighted sum of stars: 2.0,Very Good,03 Feb 2016,Porta-Pardo E et al.,New Finding
ECOD: an evolutionary classification of protein domains.,https://doi.org/10.1371/journal.pcbi.1003926,25474468,Score 14.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 5.52, Weighted sum of stars: 3.0,Very Good,04 Jul 2016,Cheng H et al.,Technical Advance
Towards increasing the clinical relevance of in silico methods to predict pathogenic missense variants.,https://doi.org/10.1371/journal.pcbi.1004725,27171182,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.02, Weighted sum of stars: 2.0,Very Good,03 Jul 2016,"Masica DL, Karchin R",New Finding
Mouse hair cycle expression dynamics modeled as coupled mesenchymal and epithelial oscillators.,https://doi.org/10.1371/journal.pcbi.1003914,25375120,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.29, Weighted sum of stars: 2.0,Very Good,28 Jan 2016,Tasseff R et al.,Confirmation
Phylogenetic quantification of intra-tumour heterogeneity.,https://doi.org/10.1371/journal.pcbi.1003535,24743184,Score 18.5,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 2.45, Weighted sum of stars: 4.0,Exceptional,30 Jan 2017,Schwarz RF et al.,Technical Advance
Inferential Structure Determination of Chromosomes from Single-Cell Hi-C Data.,https://doi.org/10.1371/journal.pcbi.1005292,28027298,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.04, Weighted sum of stars: 2.0,Very Good,30 Jan 2017,Carstens S et al.,Technical Advance
Evolution-Based Functional Decomposition of Proteins.,https://doi.org/10.1371/journal.pcbi.1004817,27254668,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.08, Weighted sum of stars: 2.0,Very Good,30 Jan 2017,Rivoire O et al.,Interesting Hypothesis
Evolution-Based Functional Decomposition of Proteins.,https://doi.org/10.1371/journal.pcbi.1004817,27254668,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.08, Weighted sum of stars: 2.0,Very Good,30 Jan 2017,Rivoire O et al.,New Finding
Evolution-Based Functional Decomposition of Proteins.,https://doi.org/10.1371/journal.pcbi.1004817,27254668,Score 9.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.08, Weighted sum of stars: 2.0,Very Good,30 Jan 2017,Rivoire O et al.,Technical Advance
Modelling hair follicle growth dynamics as an excitable medium.,https://doi.org/10.1371/journal.pcbi.1002804,23284275,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.48, Weighted sum of stars: 2.0,Very Good,28 Jan 2016,Murray PJ et al.,New Finding
The Molecular Basis of Polyunsaturated Fatty Acid Interactions with the Shaker Voltage-Gated Potassium Channel.,https://doi.org/10.1371/journal.pcbi.1004704,26751683,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.89, Weighted sum of stars: 2.0,Very Good,17 Jan 2016,Yazdi S et al.,Interesting Hypothesis
The Molecular Basis of Polyunsaturated Fatty Acid Interactions with the Shaker Voltage-Gated Potassium Channel.,https://doi.org/10.1371/journal.pcbi.1004704,26751683,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.89, Weighted sum of stars: 2.0,Very Good,17 Jan 2016,Yazdi S et al.,New Finding
Towards increasing the clinical relevance of in silico methods to predict pathogenic missense variants.,https://doi.org/10.1371/journal.pcbi.1004725,27171182,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.02, Weighted sum of stars: 2.0,Very Good,03 Jul 2016,"Masica DL, Karchin R",Technical Advance
The Molecular Basis of Polyunsaturated Fatty Acid Interactions with the Shaker Voltage-Gated Potassium Channel.,https://doi.org/10.1371/journal.pcbi.1004704,26751683,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.89, Weighted sum of stars: 2.0,Very Good,17 Jan 2016,Yazdi S et al.,Novel Drug Target
Dynamical Organization of Syntaxin-1A at the Presynaptic Active Zone.,https://doi.org/10.1371/journal.pcbi.1004407,26367029,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.59, Weighted sum of stars: 1.0,Good,21 Jun 2016,Ullrich A et al.,New Finding
Robust Brain-Machine Interface Design Using Optimal Feedback Control Modeling and Adaptive Point Process Filtering.,https://doi.org/10.1371/journal.pcbi.1004730,27035820,Score 4.8,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 3.13, Weighted sum of stars: 1.0,Good,09 Jun 2016,Shanechi MM et al.,Technical Advance
Estimating time of infection using prior serological and individual information can greatly improve incidence estimation of human and wildlife infections.,https://doi.org/10.1371/journal.pcbi.1004882,27177244,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.31, Weighted sum of stars: 2.0,Very Good,05 Jun 2016,Borremans B et al.,Good for Teaching
Estimating time of infection using prior serological and individual information can greatly improve incidence estimation of human and wildlife infections.,https://doi.org/10.1371/journal.pcbi.1004882,27177244,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.31, Weighted sum of stars: 2.0,Very Good,05 Jun 2016,Borremans B et al.,Interesting Hypothesis
The characteristics of heterozygous protein truncating variants in the human genome.,https://doi.org/10.1371/journal.pcbi.1004647,26642228,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.55, Weighted sum of stars: 1.0,Good,13 Dec 2015,Bartha I et al.,New Finding
Linear motif-mediated interactions have contributed to the evolution of modularity in complex protein interaction networks.,https://doi.org/10.1371/journal.pcbi.1003881,25299147,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.39, Weighted sum of stars: 4.0,Exceptional,10 Dec 2015,Kim I et al.,New Finding
Estimating time of infection using prior serological and individual information can greatly improve incidence estimation of human and wildlife infections.,https://doi.org/10.1371/journal.pcbi.1004882,27177244,Score 9.3,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.31, Weighted sum of stars: 2.0,Very Good,05 Jun 2016,Borremans B et al.,Technical Advance
Sensory Agreement Guides Kinetic Energy Optimization of Arm Movements during Object Manipulation.,https://doi.org/10.1371/journal.pcbi.1004861,27035587,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.57, Weighted sum of stars: 2.0,Very Good,31 May 2016,Farshchiansadegh A et al.,New Finding
Cooperative DNA Recognition Modulated by an Interplay between Protein-Protein Interactions and DNA-Mediated Allostery.,https://doi.org/10.1371/journal.pcbi.1004287,26067358,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.54, Weighted sum of stars: 1.0,Good,25 Aug 2015,Merino F et al.,Interesting Hypothesis
Advancements and challenges in computational biology.,https://doi.org/10.1371/journal.pcbi.1004053,25569585,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.24, Weighted sum of stars: 2.0,Very Good,22 Jul 2015,Nussinov R,Good for Teaching
Ten simple rules to win a Nobel Prize.,https://doi.org/10.1371/journal.pcbi.1004084,25837678,Score 23.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.17, Weighted sum of stars: 5.0,Exceptional,09 Jun 2015,Roberts RJ,Confirmation
Ten simple rules to win a Nobel Prize.,https://doi.org/10.1371/journal.pcbi.1004084,25837678,Score 23.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.17, Weighted sum of stars: 5.0,Exceptional,09 Jun 2015,Roberts RJ,Controversial
Ten simple rules to win a Nobel Prize.,https://doi.org/10.1371/journal.pcbi.1004084,25837678,Score 23.0,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.17, Weighted sum of stars: 5.0,Exceptional,09 Jun 2015,Roberts RJ,Good for Teaching
Memory storage fidelity in the hippocampal circuit: the role of subregions and input statistics.,https://doi.org/10.1371/journal.pcbi.1004250,25954996,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.59, Weighted sum of stars: 4.0,Exceptional,28 May 2015,Neher T et al.,Controversial
Memory storage fidelity in the hippocampal circuit: the role of subregions and input statistics.,https://doi.org/10.1371/journal.pcbi.1004250,25954996,Score 18.4,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.59, Weighted sum of stars: 4.0,Exceptional,28 May 2015,Neher T et al.,Interesting Hypothesis
Bacterial temporal dynamics enable optimal design of antibiotic treatment.,https://doi.org/10.1371/journal.pcbi.1004201,25905796,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.72, Weighted sum of stars: 2.0,Very Good,28 Apr 2015,Meredith HR et al.,Interesting Hypothesis
Bacterial temporal dynamics enable optimal design of antibiotic treatment.,https://doi.org/10.1371/journal.pcbi.1004201,25905796,Score 9.2,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.72, Weighted sum of stars: 2.0,Very Good,28 Apr 2015,Meredith HR et al.,New Finding
PRIMAL: Fast and accurate pedigree-based imputation from sequence data in a founder population.,https://doi.org/10.1371/journal.pcbi.1004139,25735005,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.68, Weighted sum of stars: 1.0,Good,23 Mar 2015,Livne OE et al.,Good for Teaching
Ecological consistency of SSU rRNA-based operational taxonomic units at a global scale.,https://doi.org/10.1371/journal.pcbi.1003594,24763141,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.85, Weighted sum of stars: 1.0,Good,11 May 2014,Schmidt TS et al.,New Finding
PRIMAL: Fast and accurate pedigree-based imputation from sequence data in a founder population.,https://doi.org/10.1371/journal.pcbi.1004139,25735005,Score 4.6,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 0.68, Weighted sum of stars: 1.0,Good,23 Mar 2015,Livne OE et al.,Technical Advance
A probabilistic palimpsest model of visual short-term memory.,https://doi.org/10.1371/journal.pcbi.1004003,25611204,Score 4.7,.icon_cite_svg__icon_cite.icon_cite_svg__a{fill:#263745} Relative citation ratio: 1.34, Weighted sum of stars: 1.0,Good,18 Feb 2015,Matthey L et al.,Interesting Hypothesis
